professor,time_from,time_to,day,rooms,subject,groups
Александар Стојменски,08:00:00,09:45:00,Понеделник,315 ТМФ,Структурно програмирање,1г-ИМБ-2
Александар Стојменски,10:00:00,13:45:00,Вторник,ЛАБ.138,Структурно програмирање,1y-Foreign Students
Александар Стојменски,15:00:00,16:45:00,Среда,Барака 2.2,Структурно програмирање,1г-ПИТ-3
Александар Стојменски,11:00:00,13:45:00,Среда,ЛАБ.138,Структурно програмирање,1г-ССП
Александар Стојменски,11:00:00,13:45:00,Четврток,ЛАБ.138,Структурно програмирање,1г-ССП
Александар Тенев,14:00:00,14:45:00,Понеделник,online,Бизнис и менаџмент,"1г-СИИС-1,1г-СИИС-2"
Александар Тенев,14:00:00,14:45:00,Вторник,online,Бизнис и менаџмент,"1г-ПИТ-5,1г-СИИС-3,1г-ИМБ-1"
Александар Тенев,16:00:00,17:45:00,Вторник,Барака 1,Структурно програмирање,1г-ПИТ-1
Александар Тенев,14:00:00,15:45:00,Среда,online,Економија за ИКТ инженери,"2г-ПИТ-3,2г-ПИТ-4,2г-ПИТ-1"
Александар Тенев,14:00:00,15:45:00,Петок,117 ТМФ,Алгоритми и податочни структури,2г-ПИТ-3
Александар Тенев,12:00:00,13:45:00,Петок,online,Економија за ИКТ инженери,"2г-СИИС-1,2г-СИИС-2,2г-СИИС-3,2y-SEIS-1"
Александра Дединец,10:00:00,12:45:00,Вторник,online,Вовед во паметни градови,"4г-КН,4г-СИИС"
Александра Дединец,09:00:00,10:45:00,Четврток,112 ФЕИТ,Компјутерски мрежи и безбедност,2y-SEIS-1
Александра Дединец,12:00:00,13:45:00,Петок,223 ФЕИТ,Компјутерски мрежи и безбедност,"2г-ПИТ-3,2г-ПИТ-4"
Александра Поповска Митровиќ,14:00:00,15:45:00,Понеделник,Барака 2.1,Основи на теоријата на информации,2г-ИМБ
Александра Поповска Митровиќ,12:00:00,14:45:00,Вторник,Барака 2.2,Основи на теоријата на информации,2г-ИМБ
Александра Поповска Митровиќ,08:00:00,09:45:00,Вторник,Барака 1,Веројатност и статистика,2г-КИ
Александра Поповска Митровиќ,09:00:00,11:45:00,Четврток,Барака 1,Математика 1 / Калкулус,1г-СИИС-2
Александра Поповска Митровиќ,09:00:00,11:45:00,Петок,Барака 1,Веројатност и статистика,2г-КИ
Ана Мадевска Богданова,11:00:00,12:45:00,Среда,Амфитеатар Педагаошка,Алгоритми и податочни структури,2г-СИИС-3
Ана Мадевска Богданова,16:00:00,17:45:00,Четврток,Барака 2.2,Алгоритми и податочни структури,"2г-ПИТ-4,2г-ПИТ-1"
Ана Мадевска Богданова,14:00:00,15:45:00,Четврток,225 МФ,Структурно програмирање,1г-ПИТ-2
Ана Тодоровска,15:00:00,16:45:00,Понеделник,online,Напредно програмирање,"2г-ПИТ-2,2г-ПИТ-1"
Ана Тодоровска,11:00:00,12:45:00,Вторник,Барака 3.2,Веб програмирање,"3г-СИИС-1,3г-КН"
Ана Тодоровска,15:00:00,16:45:00,Вторник,Амфитеатар Педагаошка,Напредно програмирање,"2г-СИИС-1,2г-ПИТ-3,2г-ПИТ-4"
Ана Тодоровска,17:00:00,18:45:00,Вторник,Амфитеатар Педагаошка,Напредно програмирање,"2г-КН,2y-SEIS-1,2г-КИ"
Ана Тодоровска,12:00:00,13:45:00,Среда,223 ФЕИТ,Веб програмирање,3г-ПИТ-1
Ана Тодоровска,15:00:00,16:45:00,Среда,online,Напредно програмирање,"2г-СИИС-3,2г-ПИТ-5,2г-СИИС-2"
Ана Тодоровска,12:00:00,13:45:00,Четврток,Барака 3.2,Вовед во науката за податоци,3г-СИИС-1
Ана Тодоровска,10:00:00,11:45:00,Петок,Барака 2.2,Веб програмирање,3г-ПИТ-2
Анастас Мишев,09:00:00,10:45:00,Понеделник,online,Мрежна и мобилна форензика,3г-ИМБ
Анастас Мишев,08:00:00,09:45:00,Вторник,Амфитеатар Педагаошка,Компјутерски мрежи и безбедност,"2г-ПИТ-1,2г-ПИТ-2"
Анастас Мишев,12:00:00,13:45:00,Вторник,online,Управување со техничка поддршка,"3г-ИМБ,3г-ПИТ-2"
Анастас Мишев,16:00:00,17:45:00,Вторник,online,Управување со техничка поддршка,"3г-ПИТ-1,3г-Oст"
Анастас Мишев,14:00:00,15:45:00,Петок,112 ФЕИТ,Сајбер безбедност / Мрежна безбедност,3г-ИМБ
Андреа Кулаков,14:00:00,15:45:00,Среда,Амфитеатар МФ,Вовед во науката за податоци,3г-ПИТ-1
Андреа Кулаков,17:00:00,18:45:00,Четврток,Барака 1,Основи на роботиката,"3г-ПИТ-1,3г-СИИС-1,3г-ПИТ-2"
Андреја Наумоски,13:00:00,14:45:00,Среда,online,Методологија на истражувањето во ИКТ,"3г-СИИС-1,3г-ПИТ-2"
Андреја Наумоски,10:00:00,12:45:00,Петок,online,Професионални вештини,"1г-ИМБ-1,1г-ИЕ"
Билјана Стојкоска Ристеска,09:00:00,11:45:00,Понеделник,online,Мултимедиски системи,3г-Oст
Билјана Стојкоска Ристеска,08:00:00,09:45:00,Вторник,online,Вовед во компјутерските науки,"1г-ПИТ-2,1г-ИМБ-1,1г-ИЕ"
Билјана Стојкоска Ристеска,09:00:00,11:45:00,Четврток,online,Професионални вештини,1г-СИИС-1
Билјана Тојтовска Рибарски,11:00:00,13:45:00,Вторник,117 ТМФ,Веројатност и статистика,2г-СИИС-3
Билјана Тојтовска Рибарски,08:00:00,10:45:00,Среда,Барака 3.2,Дискретни структури 1,1г-КН
Бобан Јоксимоски,18:00:00,19:45:00,Понеделник,online,Напреден веб дизајн,"3г-ПИТ-1,3г-ПИТ-2"
Бобан Јоксимоски,15:00:00,16:45:00,Вторник,Амфитеатар МФ,Напреден веб дизајн,"3г-СИИС-1,3г-СИИС-2"
Бобан Јоксимоски,17:00:00,17:45:00,Вторник,Амфитеатар МФ,Напреден веб дизајн,"3г-СИИС-1,3г-СИИС-2"
Бобан Јоксимоски,14:00:00,14:45:00,Вторник,online,Напреден веб дизајн,"3г-ПИТ-1,3г-ПИТ-2"
Бобан Јоксимоски,12:00:00,12:45:00,Среда,online,Имплементација на софтверски системи со слободен и отворен код,"3г-СИИС-1,3г-СИИС-2,3г-ПИТ-2"
Бобан Јоксимоски,08:00:00,11:45:00,Четврток,online,Дигитизација,"2г-ПИТ-1,2г-ПИТ-2,2г-ПИТ-3,2г-ПИТ-4,2г-ПИТ-5"
Бобан Јоксимоски,14:00:00,15:45:00,Четврток,315 ТМФ,Структурно програмирање,1г-СИИС-3
Бојан Илијоски,09:00:00,10:45:00,Понеделник,online,Интернет програмирање на клиентска страна,"2г-СИИС-1,2г-КИ"
Бојан Илијоски,19:00:00,19:45:00,Понеделник,Амфитеатар МФ,Интернет програмирање на клиентска страна,"2г-КИ,2г-КН,2г-СИИС-1,2г-ПИТ-1"
Бојан Илијоски,12:00:00,13:45:00,Вторник,online,Интернет програмирање на клиентска страна,2г-ПИТ-1
Бојан Илијоски,15:00:00,15:45:00,Вторник,online,Напредна интеракција човек компјутер,3г-Oст
Бојан Илијоски,09:00:00,10:45:00,Среда,online,Интернет програмирање на клиентска страна,"2г-ПИТ-2,2г-КН"
Бојан Илијоски,11:00:00,12:45:00,Среда,online,Интернет програмирање на клиентска страна,"2y-SEIS-1,2г-ИМБ,2г-СИИС-2"
Бојан Илијоски,13:00:00,13:45:00,Среда,Амфитеатар Педагаошка,Интернет програмирање на клиентска страна,"2г-СИИС-2,2г-ИМБ,2y-SEIS-1,2г-ПИТ-2"
Бојан Илијоски,16:00:00,19:45:00,Четврток,Амфитеатар МФ,Компјутерска етика,3y-SEIS-1
Бојана Котеска,09:00:00,11:45:00,Понеделник,online,Вовед во компјутерските науки,1г-СИИС-1
Бојана Котеска,09:00:00,12:45:00,Вторник,203 ТМФ,Вовед во компјутерските науки,1г-ССП
Бојана Котеска,08:00:00,09:45:00,Четврток,117 ТМФ,Алгоритми и податочни структури,2г-СИИС-2
Боро Јакимовски,08:00:00,09:45:00,Среда,315 ТМФ,Администрација на системи,"3г-ИМБ,3г-ПИТ-1,3г-ПИТ-2"
Боро Јакимовски,08:00:00,09:45:00,Четврток,315 ТМФ,Дистрибуирани системи,4г-ИМБ
Вангел Ајановски,16:00:00,19:45:00,Понеделник,online,"Компјутерски звук, музика и говор",2г-Oст
Вангел Ајановски,16:00:00,19:45:00,Среда,Амфитеатар МФ,Бази на податоци,"3г-ИМБ,3г-КИ,3г-Oст"
Верица Бакева,14:00:00,15:45:00,Понеделник,Барака 2.1,Основи на теоријата на информации,2г-ИМБ
